seed,hallucination_rate,controller,final_vhat,final_vtrue,viol_rate,conv_steps,pearson_r,spearman_r
42,0.0,no_damping,9.992007221626409e-16,260443896681.3372,0.012012012012012012,1000,-0.4203356396424259,0.6716960663461597
42,0.0,cosine,0.00035895594036681696,0.027298153153674447,0.21921921921921922,528,0.063001987674939,0.04883290358793001
42,0.0,grad_clip,0.17607737652201555,0.326574650193558,0.4874874874874875,8,-0.0012967614632071697,0.7262292871252934
42,0.0,adaptive,0.0,0.45776420656981365,0.4124124124124124,22,0.9368022359717761,0.02680326856878174
43,0.0,no_damping,9.992007221626409e-16,294532822659.21875,0.012012012012012012,1000,-0.42334937395719663,0.6714513218163802
43,0.0,cosine,0.0002847564522510373,0.0036321631051740586,0.23423423423423423,529,0.0938677341119745,0.11592490589769452
43,0.0,grad_clip,0.05574556176377704,0.17645309272058685,0.4944944944944945,7,0.004360945821069303,0.6934481157957966
43,0.0,adaptive,25796.68235072706,54.00813914671221,0.42242242242242245,16,0.9212771658534978,0.06842591257829399
44,0.0,no_damping,9.992007221626409e-16,428817250966.52277,0.015015015015015015,1000,-0.410606968221914,0.657716749181877
44,0.0,cosine,0.0002542687359149443,0.011492935956702135,0.23423423423423423,529,0.00934283734050604,-0.02507394169466238
44,0.0,grad_clip,0.05383828138762905,0.23419184866577372,0.47047047047047047,9,0.013651265939739875,0.6816331372810117
44,0.0,adaptive,2.5492300951951134e-05,0.013567782700708656,0.4314314314314314,25,0.9298345867876896,0.04235556862558769
45,0.0,no_damping,9.992007221626409e-16,234740951984.3941,0.016016016016016016,1000,-0.3656286130938111,-0.824212699731052
45,0.0,cosine,0.0002492260172545993,0.008840557166319202,0.23523523523523523,530,0.12476412053199118,-0.01968324200745983
45,0.0,grad_clip,0.09561786304708507,0.26411853523626355,0.48148148148148145,4,0.1636883668726159,0.6938391459311034
45,0.0,adaptive,0.0003877167856847457,0.0045708887507929594,0.43343343343343343,8,0.9275019461185169,0.09560544952905135
46,0.0,no_damping,9.992007221626409e-16,467932889654.58044,0.014014014014014014,1000,-0.42259116774001515,0.6615394115804792
46,0.0,cosine,0.00028176284319887044,0.005421282159058132,0.23623623623623624,529,0.014676603329740296,-0.01493104803589762
46,0.0,grad_clip,0.0,0.07899806227290303,0.4754754754754755,6,0.036132049163760366,0.7247992671849486
46,0.0,adaptive,0.0001574368309303934,0.011672704206269119,0.42342342342342343,17,0.9379566669549873,0.046669123110804685
47,0.0,no_damping,9.992007221626409e-16,319657632644.2512,0.013013013013013013,1000,-0.4169748248114092,-0.8405899563092644
47,0.0,cosine,0.0002550090400864372,0.014694572473546514,0.22722722722722724,528,0.12089445931190287,-0.02876489725216591
47,0.0,grad_clip,0.0,0.0949265273232174,0.4974974974974975,10,-0.02255562256954424,0.6805644007313604
47,0.0,adaptive,0.0,0.05644948296257961,0.41541541541541543,25,0.9153399657119071,0.05538257395704688
48,0.0,no_damping,9.992007221626409e-16,396370792884.00903,0.016016016016016016,1000,-0.3925625558794356,0.6551733496438038
48,0.0,cosine,0.0002893513609331011,0.01190604240063195,0.23823823823823823,530,0.009305614857314203,-0.005964935054118305
48,0.0,grad_clip,0.0006463628505020693,0.18228263890525842,0.47647647647647645,6,0.02464145931066528,0.6735299068810563
48,0.0,adaptive,0.002391555929139255,0.10495911737769206,0.42542542542542544,14,0.9302647649638746,0.040217878102975876
49,0.0,no_damping,9.992007221626409e-16,289052214502.6792,0.01701701701701702,1000,-0.36344970786554404,-0.8249155246242998
49,0.0,cosine,0.00027311237786496046,0.0029014385359214475,0.23923923923923923,530,-0.01740737195529573,-0.02290976171229251
49,0.0,grad_clip,0.0,0.1273265496816424,0.4864864864864865,7,0.013214384974976937,0.7260351360575035
49,0.0,adaptive,0.00024008348806633947,0.05816348636923607,0.43343343343343343,18,0.9436476644639893,0.05245741532845084
50,0.0,no_damping,9.992007221626409e-16,447940211422.5564,0.013013013013013013,1000,-0.42905387350594903,0.6655862601798258
50,0.0,cosine,0.00031818696589936877,0.023546491067767353,0.23023023023023023,529,-0.02083168796664124,0.08311542808321164
50,0.0,grad_clip,0.0,0.17810226880830876,0.4914914914914915,8,0.00850917508179679,0.703531171715132
50,0.0,adaptive,0.0,0.12345333596284383,0.4184184184184184,19,0.9413360208978729,0.02644582752838457
51,0.0,no_damping,9.992007221626409e-16,388716911873.2804,0.016016016016016016,1000,-0.39921491734961245,0.6540632982524571
51,0.0,cosine,0.000249509019082208,0.00788900018882566,0.23623623623623624,530,-0.012848332188552835,0.06392337260342006
51,0.0,grad_clip,0.0,0.07293305068605473,0.46646646646646645,5,0.07804997345852907,0.6921222718925608
51,0.0,adaptive,0.00480486408837894,0.1040955331999863,0.4214214214214214,14,0.9425644633713162,0.016300101660235752
52,0.0,no_damping,9.992007221626409e-16,478366081973.5474,0.016016016016016016,1000,-0.40019584127462654,0.6548904725919933
52,0.0,cosine,0.00019372306435348066,0.015425457554525764,0.23223223223223224,531,0.07163489157792519,-0.03470726716647335
52,0.0,grad_clip,0.00075304148445741,0.1561823431268395,0.47647647647647645,3,0.26836583306704437,0.7108154214226748
52,0.0,adaptive,0.0,0.381086029236108,0.42242242242242245,4,0.9368962750553428,0.0787870452143431
53,0.0,no_damping,9.992007221626409e-16,380213915822.88855,0.014014014014014014,1000,-0.41410370853789913,0.6618622909723444
53,0.0,cosine,0.0002529882290501802,0.008468178385149024,0.24124124124124124,530,0.13677576037499714,0.28870164921855085
53,0.0,grad_clip,0.0,0.022381569402361003,0.4894894894894895,6,0.0392403937634455,0.697103883275205
