final_energy,mean_energy,max_energy,oscillation_count,oscillation_index,regression_count,c1_alerts,c2_rejections,final_energy_std,mean_energy_std,max_energy_std,oscillation_count_std,oscillation_index_std,regression_count_std,c1_alerts_std,c2_rejections_std,h_rate,lr,drift_freq,drift_label,ablation,n_seeds
778396.6286684999,65844.76781649138,778396.6286684999,524.5,0.8741666666666665,460.8,0.0,0.0,373941.74108526885,31626.725343703416,373941.74108526885,16.566532527961304,0.02761088754660217,21.811923344813042,0.0,0.0,0.0,0.01,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,599.0,0.9983333333333333,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.01,0,stationary,full,10
1.2741496564591067e+26,2.284146335359651e+24,1.2741496564591067e+26,592.8,0.9880000000000001,585.8,0.0,0.0,5.77809056228256e+25,1.0358284300677087e+24,5.77809056228256e+25,3.370459909270543,0.0056174331821175535,4.4,0.0,0.0,0.0,0.05,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,599.0,0.9983333333333333,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.05,0,stationary,full,10
2.0801375881175882e+50,1.9975924457319698e+48,2.0801375881175882e+50,597.3,0.9955,594.9,0.0,0.0,8.607276671558509e+49,8.265718073480792e+47,8.607276671558509e+49,1.345362404707371,0.002242270674512271,1.7,0.0,0.0,0.0,0.1,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,599.0,0.9983333333333333,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.1,0,stationary,full,10
4.0468966378881086e+95,2.2073981661207865e+93,4.0468966378881086e+95,598.7,0.9978333333333331,598.3,0.0,0.0,1.429445822104613e+95,7.796977211479705e+92,1.429445822104613e+95,0.45825756949558405,0.0007637626158259401,0.7810249675906654,0.0,0.0,0.0,0.2,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,599.0,0.9983333333333333,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.2,0,stationary,full,10
1.8586680387553278e+137,7.587316390088171e+134,1.8586680387553278e+137,598.9,0.9981666666666665,598.7,0.0,0.0,5.81765997740907e+136,2.3748418748360695e+134,5.81765997740907e+136,0.30000000000000004,0.0004999999999999782,0.45825756949558405,0.0,0.0,0.0,0.3,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,599.0,0.9983333333333333,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.3,0,stationary,full,10
