model,bl_mean_acc,bl_std_acc,bl_variance,bl_mean_osc,bl_mean_reg,bl_instability,au_mean_acc,au_std_acc,au_mean_osc,au_mean_reg,au_mean_rej,delta_acc,delta_osc,delta_reg,delta_reg_ci_lo,delta_reg_ci_hi,p_audit_worse
gemini,0.9119300000000001,0.03956669386185677,0.0015655232631578947,3.35,3.35,6.7,0.8774999999999998,0.02639710909211562,3.15,2.65,13.75,-0.034430000000000294,-0.20000000000000018,-0.7000000000000002,-1.85,0.5499999999999998,0.1428
gpt4o-mini,0.9838600000000002,0.007442401046257424,5.53893333333336e-05,2.5,0.3,2.8,0.9761600000000001,0.008673996900058371,2.8,0.8,2.1,-0.00770000000000004,0.2999999999999998,0.5,-0.09999999999999998,1.1,0.9615
