seed,mode,E_thresh,RV_thresh,n_accepted,n_rejected,retention_rate,fragile_rate,reliable_frac,recall,f1,fragile_rej,accepted_fragile
42,E+RV,1.0,0.2,363,137,0.726,0.1018867924528302,0.6556473829201102,0.9754098360655737,0.7841845140032948,0.55,27
42,E+RV,1.0,0.3,399,101,0.798,0.13523131672597866,0.6090225563909775,0.9959016393442623,0.7558320373250389,0.3666666666666667,38
42,E+RV,1.0,0.5,422,78,0.844,0.16151202749140894,0.5781990521327014,1.0,0.7327327327327328,0.21666666666666667,47
42,E+RV,1.5,0.01,69,431,0.138,0.046875,0.8840579710144928,0.25,0.3897763578274761,0.95,3
42,E+RV,1.5,0.05,167,333,0.334,0.04195804195804196,0.8203592814371258,0.5614754098360656,0.6666666666666667,0.9,6
42,E+RV,1.5,0.1,251,249,0.502,0.05741626794258373,0.7848605577689243,0.8073770491803278,0.7959595959595959,0.8,12
42,E+RV,1.5,0.15,291,209,0.582,0.07563025210084033,0.7560137457044673,0.9016393442622951,0.8224299065420562,0.7,18
42,E+RV,1.5,0.2,310,190,0.62,0.08,0.7419354838709677,0.9426229508196722,0.8303249097472923,0.6666666666666667,20
42,E+RV,1.5,0.3,334,166,0.668,0.11026615969581749,0.7005988023952096,0.9590163934426229,0.8096885813148789,0.5166666666666666,29
42,E+RV,1.5,0.5,349,151,0.698,0.13602941176470587,0.673352435530086,0.9631147540983607,0.7925801011804384,0.3833333333333333,37
42,E+RV,2.0,0.01,58,442,0.116,0.05454545454545454,0.896551724137931,0.21311475409836064,0.3443708609271523,0.95,3
42,E+RV,2.0,0.05,134,366,0.268,0.04065040650406504,0.8805970149253731,0.48360655737704916,0.6243386243386244,0.9166666666666666,5
42,E+RV,2.0,0.1,199,301,0.398,0.055865921787709494,0.8492462311557789,0.6926229508196722,0.7629796839729119,0.8333333333333334,10
42,E+RV,2.0,0.15,234,266,0.468,0.07729468599033816,0.8162393162393162,0.7827868852459017,0.799163179916318,0.7333333333333334,16
42,E+RV,2.0,0.2,248,252,0.496,0.0779816513761468,0.8104838709677419,0.8237704918032787,0.8170731707317073,0.7166666666666667,17
42,E+RV,2.0,0.3,266,234,0.532,0.1091703056768559,0.7669172932330827,0.8360655737704918,0.7999999999999999,0.5833333333333333,25
42,E+RV,2.0,0.5,278,222,0.556,0.1350210970464135,0.737410071942446,0.8401639344262295,0.7854406130268198,0.4666666666666667,32
42,E+RV,2.5,0.01,43,457,0.086,0.07142857142857142,0.9069767441860465,0.1598360655737705,0.27177700348432055,0.95,3
42,E+RV,2.5,0.05,109,391,0.218,0.049019607843137254,0.8899082568807339,0.3975409836065574,0.5495750708215298,0.9166666666666666,5
42,E+RV,2.5,0.1,164,336,0.328,0.06535947712418301,0.8719512195121951,0.5860655737704918,0.7009803921568628,0.8333333333333334,10
42,E+RV,2.5,0.15,197,303,0.394,0.08333333333333333,0.8375634517766497,0.6762295081967213,0.7482993197278912,0.75,15
42,E+RV,2.5,0.2,208,292,0.416,0.0851063829787234,0.8269230769230769,0.7049180327868853,0.7610619469026548,0.7333333333333334,16
42,E+RV,2.5,0.3,220,280,0.44,0.10256410256410256,0.7954545454545454,0.7172131147540983,0.7543103448275862,0.6666666666666667,20
42,E+RV,2.5,0.5,227,273,0.454,0.12060301507537688,0.7709251101321586,0.7172131147540983,0.7430997876857749,0.6,24
42,E+RV,3.0,0.01,33,467,0.066,0.0625,0.9090909090909091,0.12295081967213115,0.21660649819494585,0.9666666666666667,2
42,E+RV,3.0,0.05,86,414,0.172,0.0375,0.8953488372093024,0.3155737704918033,0.4666666666666666,0.95,3
42,E+RV,3.0,0.1,130,370,0.26,0.040983606557377046,0.9,0.47950819672131145,0.6256684491978609,0.9166666666666666,5
42,E+RV,3.0,0.15,157,343,0.314,0.05517241379310345,0.8726114649681529,0.5614754098360656,0.683291770573566,0.8666666666666667,8
