seed,severity,detector,delay,pre_fpr,arl0
44,moderate,uniform,700,0.03333333333333333,0
44,moderate,adwin,700,0.0,300
45,moderate,entropy_weighted,700,0.03333333333333333,0
45,moderate,uniform,700,0.03333333333333333,0
45,moderate,adwin,700,0.0,300
46,moderate,entropy_weighted,700,0.03333333333333333,0
46,moderate,uniform,700,0.03333333333333333,0
46,moderate,adwin,700,0.0,300
47,moderate,entropy_weighted,700,0.03333333333333333,0
47,moderate,uniform,700,0.03333333333333333,0
47,moderate,adwin,700,0.0,300
48,moderate,entropy_weighted,700,0.03333333333333333,0
48,moderate,uniform,700,0.03333333333333333,0
48,moderate,adwin,700,0.0,300
49,moderate,entropy_weighted,700,0.03333333333333333,0
49,moderate,uniform,700,0.03333333333333333,0
49,moderate,adwin,700,0.0,300
50,moderate,entropy_weighted,700,0.03333333333333333,0
50,moderate,uniform,700,0.03333333333333333,0
50,moderate,adwin,700,0.0,300
51,moderate,entropy_weighted,700,0.03333333333333333,0
51,moderate,uniform,700,0.03333333333333333,0
51,moderate,adwin,700,0.0,300
52,moderate,entropy_weighted,700,0.03333333333333333,0
52,moderate,uniform,700,0.03333333333333333,0
52,moderate,adwin,700,0.0,300
53,moderate,entropy_weighted,700,0.03333333333333333,0
53,moderate,uniform,700,0.03333333333333333,0
53,moderate,adwin,700,0.0,300
54,moderate,entropy_weighted,700,0.03333333333333333,0
54,moderate,uniform,700,0.03333333333333333,0
54,moderate,adwin,700,0.0,300
55,moderate,entropy_weighted,167,0.03333333333333333,0
55,moderate,uniform,168,0.03333333333333333,0
55,moderate,adwin,700,0.0,300
56,moderate,entropy_weighted,237,0.03333333333333333,0
56,moderate,uniform,700,0.03333333333333333,0
56,moderate,adwin,700,0.0,300
57,moderate,entropy_weighted,700,0.03333333333333333,0
57,moderate,uniform,700,0.03333333333333333,0
57,moderate,adwin,700,0.0,300
58,moderate,entropy_weighted,700,0.03333333333333333,0
58,moderate,uniform,700,0.03333333333333333,0
58,moderate,adwin,700,0.0,300
59,moderate,entropy_weighted,700,0.03333333333333333,0
59,moderate,uniform,700,0.03333333333333333,0
59,moderate,adwin,700,0.0,300
60,moderate,entropy_weighted,73,0.03333333333333333,0
60,moderate,uniform,76,0.03333333333333333,0
60,moderate,adwin,700,0.0,300
61,moderate,entropy_weighted,700,0.03333333333333333,0
61,moderate,uniform,700,0.03333333333333333,0
61,moderate,adwin,700,0.0,300
62,moderate,entropy_weighted,700,0.03333333333333333,0
62,moderate,uniform,700,0.03333333333333333,0
62,moderate,adwin,700,0.0,300
63,moderate,entropy_weighted,572,0.03333333333333333,0
63,moderate,uniform,575,0.03333333333333333,0
63,moderate,adwin,700,0.0,300
64,moderate,entropy_weighted,700,0.03333333333333333,0
64,moderate,uniform,700,0.03333333333333333,0
