Method,Type,Can_Prevent_Fragile_Accept,Mechanism,Oscillating_Episodes_Addressed
SAHOO (ICLR 2026),Post-hoc heuristic,No,EMA + regression bound (reactive),0
WhyLab C2 (Ours),Experiment (actual),Yes,DML + E-value + RV (proactive causal),90
